linguagem_primaria,quantidade_repos,media_prs_aceitas,media_releases,media_dias_atualizacao
Python,228,3988.3333333333335,90.38157894736842,109.67543859649123
TypeScript,174,5279.350574712644,257.7413793103448,29.10919540229885
JavaScript,110,2319.6545454545453,115.86363636363636,158.70909090909092
Go,76,5365.789473684211,204.42105263157896,57.01315789473684
Rust,57,5716.035087719299,170.91228070175438,16.31578947368421
Java,41,4961.243902439024,82.92682926829268,118.2439024390244
C++,40,8284.975,158.2,73.525
Jupyter Notebook,24,222.95833333333334,0.20833333333333334,195.79166666666666
C,21,1535.142857142857,70.66666666666667,85.42857142857143
Shell,20,778.15,46.75,133.3
Ruby,13,10141.0,145.6153846153846,147.46153846153845
HTML,11,505.1818181818182,0.45454545454545453,109.0
Swift,10,6798.7,78.6,7.4
Kotlin,9,1168.0,114.0,10.11111111111111
C#,8,5062.625,157.0,74.5
CSS,8,319.5,10.875,421.125
Vue,6,1044.1666666666667,49.833333333333336,321.8333333333333
Dart,6,9147.166666666666,53.833333333333336,20.0
Markdown,5,4042.6,7.6,39.8
PHP,4,13990.25,534.5,0.0
Clojure,4,14067.5,270.5,4.0
MDX,4,2605.0,24.0,39.25
Zig,3,5466.333333333333,13.666666666666666,86.33333333333333
Vim Script,3,6742.666666666667,20.666666666666668,27.666666666666668
Astro,2,1257.0,69.0,1.5
PowerShell,2,790.0,41.0,1.0
Dockerfile,2,383.5,0.5,397.5
TeX,2,19.0,3.5,2063.0
Haskell,2,1073.0,94.0,4.5
Makefile,2,3011.0,169.5,53.5
Scala,2,5.0,0.0,169.5
Objective-C,2,645.5,20.0,652.0
Blade,1,1708.0,226.0,1.0
Assembly,1,0.0,0.0,29.0
Batchfile,1,7.0,31.0,40.0
Nunjucks,1,485.0,0.0,57.0
Lua,1,6532.0,147.0,9.0
LLVM,1,96386.0,159.0,0.0
Julia,1,27731.0,200.0,0.0
Elixir,1,898.0,12.0,59.0
Roff,1,1.0,0.0,299.0
Svelte,1,252.0,0.0,129.0
V,1,13766.0,304.0,0.0
