nameWithOwner,stargazerCount,createdAt,idade_anos,prs_aceitas,total_releases,pushedAt,dias_desde_atualizacao,linguagem_primaria,total_issues,issues_fechadas,razao_fechadas
codecrafters-io/build-your-own-x,539436,2018-05-09T12:03:18Z,8.26,157,0,2026-07-14T19:25:58Z,30,Markdown,944,677,0.7172
sindresorhus/awesome,495366,2014-07-11T13:42:37Z,12.09,700,0,2026-06-30T18:21:16Z,44,N/A,368,352,0.9565
public-apis/public-apis,455942,2016-03-20T23:49:42Z,10.4,2131,0,2026-08-13T21:07:34Z,0,Python,921,911,0.9891
freeCodeCamp/freeCodeCamp,453957,2014-12-24T17:49:19Z,11.64,29089,0,2026-08-13T21:20:52Z,0,TypeScript,22059,21888,0.9922
EbookFoundation/free-programming-books,394336,2013-10-11T06:50:37Z,12.84,7417,0,2026-08-11T12:11:06Z,2,Python,1292,1254,0.9706
openclaw/openclaw,386190,2025-11-24T10:16:47Z,0.72,24585,233,2026-08-13T21:55:37Z,0,TypeScript,46932,43537,0.9277
nilbuild/developer-roadmap,364352,2017-03-15T13:45:52Z,9.41,4390,1,2026-08-13T18:34:59Z,0,TypeScript,3184,3183,0.9997
donnemartin/system-design-primer,363647,2017-02-26T16:15:28Z,9.46,210,0,2026-03-20T01:52:19Z,146,Python,399,127,0.3183
jwasham/coding-interview-university,358649,2016-06-06T02:34:12Z,10.18,415,0,2025-08-28T14:42:47Z,350,N/A,536,455,0.8489
vinta/awesome-python,313799,2014-06-27T21:00:06Z,12.13,738,0,2026-08-05T06:11:04Z,8,Python,0,0,0.0
awesome-selfhosted/awesome-selfhosted,312446,2015-06-01T02:33:17Z,11.2,0,1,2026-08-12T18:50:03Z,1,N/A,0,0,0.0
practical-tutorials/project-based-learning,279054,2017-04-12T05:07:46Z,9.34,194,0,2026-08-10T07:04:22Z,3,Python,239,88,0.3682
996icu/996.ICU,276626,2019-03-26T07:31:14Z,7.38,1071,0,2025-08-22T06:01:29Z,356,N/A,0,0,0.0
obra/superpowers,271717,2025-10-09T19:45:18Z,0.84,167,12,2026-08-13T00:36:31Z,0,Shell,843,693,0.8221
