kata,integrante,tratamento,arquivos_analisados,loc,lloc,sloc,num_blocos,complexidade_media,complexidade_total,mi,linhas_totais_jscpd,linhas_duplicadas,duplicacao_pct,clones,erro_parse
k1,lucasrsnd,sem_ia,1,37,26,29,1,11.0,11,52.91,37,0,0.0,0,False
k2,lucasrsnd,sem_ia,1,8,6,6,1,3.0,3,72.6,8,0,0.0,0,False
k3,lucasrsnd,sem_ia,1,15,11,11,1,4.0,4,64.86,15,0,0.0,0,False
k4,lucasrsnd,com_ia,1,20,15,15,1,9.0,9,58.2,19,0,0.0,0,False
k5,lucasrsnd,com_ia,1,12,9,9,1,4.0,4,76.54,12,0,0.0,0,False
k6,lucasrsnd,com_ia,1,14,11,11,1,4.0,4,100.0,14,0,0.0,0,False
k1,DaviSantos23,com_ia,1,20,11,15,1,4.0,4,71.13,20,0,0.0,0,False
k3,DaviSantos23,com_ia,1,21,14,14,1,6.0,6,60.38,21,0,0.0,0,False
k5,DaviSantos23,com_ia,1,13,9,9,1,3.0,3,74.04,13,0,0.0,0,False
k2,DaviSantos23,sem_ia,1,10,8,8,1,3.0,3,75.16,10,0,0.0,0,False
k4,DaviSantos23,sem_ia,1,17,13,13,1,9.0,9,60.37,17,0,0.0,0,False
k6,DaviSantos23,sem_ia,1,14,10,10,1,4.0,4,100.0,14,0,0.0,0,False
k4,gustavoprehl,sem_ia,1,29,17,16,1,9.0,9,85.09,29,0,0.0,0,False
k5,gustavoprehl,sem_ia,1,19,10,9,1,4.0,4,100.0,19,0,0.0,0,False
k6,gustavoprehl,sem_ia,1,20,12,11,1,4.0,4,100.0,20,0,0.0,0,False
k1,gustavoprehl,com_ia,1,23,10,19,1,5.0,5,66.45,23,0,0.0,0,False
k2,gustavoprehl,com_ia,1,10,11,10,1,5.0,5,63.85,10,0,0.0,0,False
k3,gustavoprehl,com_ia,1,25,18,18,1,8.0,8,57.05,25,0,0.0,0,False
