kata,integrante,tratamento,n_vulnerabilidades,n_severidade_baixa,n_severidade_media,n_severidade_alta,n_confianca_alta
k1,lucasrsnd,sem_ia,0,0,0,0,0
k2,lucasrsnd,sem_ia,0,0,0,0,0
k3,lucasrsnd,sem_ia,0,0,0,0,0
k4,lucasrsnd,com_ia,0,0,0,0,0
k5,lucasrsnd,com_ia,0,0,0,0,0
k6,lucasrsnd,com_ia,0,0,0,0,0
k2,DaviSantos23,sem_ia,0,0,0,0,0
k1,DaviSantos23,com_ia,0,0,0,0,0
k3,DaviSantos23,com_ia,0,0,0,0,0
k5,DaviSantos23,com_ia,0,0,0,0,0
k4,DaviSantos23,sem_ia,0,0,0,0,0
k6,DaviSantos23,sem_ia,0,0,0,0,0
k4,gustavoprehl,sem_ia,0,0,0,0,0
k5,gustavoprehl,sem_ia,0,0,0,0,0
k6,gustavoprehl,sem_ia,0,0,0,0,0
k1,gustavoprehl,com_ia,0,0,0,0,0
k2,gustavoprehl,com_ia,0,0,0,0,0
k3,gustavoprehl,com_ia,0,0,0,0,0
