timestamp_inicio,timestamp_fim,kata,integrante,tratamento,tempo_min,censurado,testes_passando,testes_total
2026-09-16T17:43:41.710369+00:00,2026-09-16T18:08:48.710130+00:00,k1,lucasrsnd,sem_ia,25.12,False,3,3
2026-09-16T18:22:46.611038+00:00,2026-09-16T18:31:50.419005+00:00,k2,lucasrsnd,sem_ia,9.06,False,3,3
2026-09-16T18:39:14.534376+00:00,2026-09-16T18:50:36.661044+00:00,k3,lucasrsnd,sem_ia,11.37,False,3,3
2026-09-16T19:01:25.641799+00:00,2026-09-16T19:04:36.021204+00:00,k4,lucasrsnd,com_ia,3.17,False,4,4
2026-09-16T19:07:01.428115+00:00,2026-09-16T19:10:40.718341+00:00,k5,lucasrsnd,com_ia,3.65,False,3,3
2026-09-16T19:12:34.525006+00:00,2026-09-16T19:17:10.612569+00:00,k6,lucasrsnd,com_ia,4.6,False,2,2
2026-09-17T00:47:15.808225+00:00,2026-09-17T01:22:26.254669+00:00,k2,DaviSantos23,sem_ia,35.0,True,0,2
2026-09-17T01:27:35.572578+00:00,2026-09-17T01:29:15.749615+00:00,k1,DaviSantos23,com_ia,1.67,False,3,3
2026-09-17T01:30:31.814275+00:00,2026-09-17T01:33:30.233791+00:00,k3,DaviSantos23,com_ia,2.97,False,3,3
2026-09-17T02:02:02.591242+00:00,2026-09-17T02:03:26.670911+00:00,k5,DaviSantos23,com_ia,1.4,False,3,3
2026-09-17T02:08:00.950700+00:00,2026-09-17T02:27:35.113751+00:00,k4,DaviSantos23,sem_ia,19.57,False,4,4
